Vaccine/Exemption,Dose,Geography Type,Geography,School Year,Estimate (%),Population Size,Percent Surveyed,Footnotes,Number of Exemptions,Survey Type
Exemption,Any Exemption,States,New Mexico,2020-21,0.9,20589,100,†,189,Census
Exemption,Any Exemption,States,New Mexico,2019-20,1.5,23087,,†,344,Census
Exemption,Any Exemption,States,New Mexico,2015-16,1.3,29049,,†,365,Census
Exemption,Any Exemption,States,New Mexico,2014-15,1.2,29918,,†,365,Census
Exemption,Any Exemption,States,New Mexico,2013-14,1.1,30725,,†,349,Stratified  2-stage cluster sample
Exemption,Any Exemption,States,New Mexico,2012-13,0.4,29279,,†,47,2-stage Cluster Sample
Exemption,Any Exemption,States,New Mexico,2010-11,NA,,,,,NA
Exemption,Any Exemption,States,New Mexico,2011-12,2,29159,,†,12,2-stage Cluster Sample
Exemption,Any Exemption,States,New Mexico,2017-18,1.7,26896,,†,445,Stratified 2-stage cluster sample
Exemption,Any Exemption,States,New Mexico,2016-17,2.3,27119,,†,610,Stratified 2-stage cluster sample
Polio,,States,New Mexico,2012-13,96.8,29279,3.3,‡ ,,2-stage Cluster Sample
Polio,,States,New Mexico,2013-14,97.4,30725,2.7,‡,,Stratified  2-stage cluster sample
Polio,,States,New Mexico,2014-15,97.9,29918,3.3,†,,Stratified 2-stage cluster sample
Polio,,States,New Mexico,2015-16,95.6,29049,2.7,†,,Stratified 2-stage cluster sample
Polio,,States,New Mexico,2017-18,94.8,26896,99.6,,,Stratified 2-stage cluster sample
Polio,,States,New Mexico,2016-17,95.1,27119,4.5,,,Stratified 2-stage cluster sample
Polio,,States,New Mexico,2018-19,96.1,25269,99.6,,,Census
Exemption,Medical Exemption,States,New Mexico,2013-14,0.2,30725,,,72,Stratified  2-stage cluster sample
Exemption,Medical Exemption,States,New Mexico,2012-13,0.2,29279,,,20,2-stage Cluster Sample
Exemption,Medical Exemption,States,New Mexico,2011-12,0.1,29159,,<,0,2-stage Cluster Sample
Exemption,Medical Exemption,States,New Mexico,2010-11,NA,,,,,NA
Exemption,Medical Exemption,States,New Mexico,2009-10,NA,26318,,††,,Random sample
Polio,,States,New Mexico,2021-22,94.3,20736,100,*,,Census
Polio,,States,New Mexico,2020-21,95.7,20589,100,*,,Census
Varicella,2 Doses (unknown disease history),States,New Mexico,2010-11,NA,,,,,NA
Varicella,2 Doses (unknown disease history),States,New Mexico,2011-12,94.2,29159,2,,,2-stage Cluster Sample
Varicella,2 Doses (unknown disease history),States,New Mexico,2012-13,94,29279,3.3,‡ ,,2-stage Cluster Sample
Varicella,2 Doses (unknown disease history),States,New Mexico,2013-14,93.4,30725,2.7,‡,,Stratified  2-stage cluster sample
Polio,,States,New Mexico,2019-20,96.9,23087,100,*,,Census
Exemption,Non-Medical Exemption,States,New Mexico,2014-15,1.2,29918,,†,347,Census
Exemption,Non-Medical Exemption,States,New Mexico,2013-14,0.9,30725,,†,277,Stratified  2-stage cluster sample
Exemption,Non-Medical Exemption,States,New Mexico,2015-16,1.2,29049,,†,346,Census
Exemption,Non-Medical Exemption,States,New Mexico,2012-13,0.2,29279,,†,27,2-stage Cluster Sample
Exemption,Non-Medical Exemption,States,New Mexico,2011-12,2,29159,,†,12,2-stage Cluster Sample
Exemption,Non-Medical Exemption,States,New Mexico,2010-11,NA,,,,,NA
Exemption,Non-Medical Exemption,States,New Mexico,2009-10,0.7,26318,,†,183,Random sample
Exemption,Medical Exemption,States,New Mexico,2021-22,0.3,20736,100,†,58,Census
Exemption,Medical Exemption,States,New Mexico,2020-21,0.1,20589,100,†,23,Census
Exemption,Medical Exemption,States,New Mexico,2018-19,0.3,25269,,†,84,Census
Exemption,Medical Exemption,States,New Mexico,2019-20,0.2,23087,,†,46,Census
Exemption,Medical Exemption,States,New Mexico,2017-18,0.2,26896,,,51,Stratified 2-stage cluster sample
Exemption,Medical Exemption,States,New Mexico,2016-17,0.1,27119,,<,6,Stratified 2-stage cluster sample
Exemption,Medical Exemption,States,New Mexico,2015-16,0.1,29049,,,19,Census
Exemption,Medical Exemption,States,New Mexico,2014-15,0.1,29918,,,18,Census
Varicella,2 Doses (unknown disease history),States,New Mexico,2009-10,94.9,26318,2.2,,,Random sample
Varicella,1 Dose (unknown disease history),States,New Mexico,2021-22,NReq,20736,100,*,,Census
Varicella,1 Dose (unknown disease history),States,New Mexico,2011-12,NA,29159,2,,,2-stage Cluster Sample
"DTP, DTaP, or DT",,States,New Mexico,2020-21,95.7,20589,100,*,,Census
"DTP, DTaP, or DT",,States,New Mexico,2021-22,94,20736,100,*,,Census
"DTP, DTaP, or DT",,States,New Mexico,2018-19,96,25269,99.6,,,Census
"DTP, DTaP, or DT",,States,New Mexico,2019-20,96.7,23087,100,*,,Census
"DTP, DTaP, or DT",,States,New Mexico,2017-18,94.9,26896,99.6,,,Stratified 2-stage cluster sample
Varicella,1 Dose (unknown disease history),States,New Mexico,2015-16,NA,29049,2.7,†,,Stratified 2-stage cluster sample
Varicella,1 Dose (unknown disease history),States,New Mexico,2020-21,NReq,20589,100,*,,Census
Varicella,1 Dose (unknown disease history),States,New Mexico,2019-20,NReq,23087,100,*,,Census
Varicella,1 Dose (unknown disease history),States,New Mexico,2013-14,NA,30725,2.7,‡,,Stratified  2-stage cluster sample
Varicella,1 Dose (unknown disease history),States,New Mexico,2014-15,NA,29918,3.3,†,,Stratified 2-stage cluster sample
Varicella,1 Dose (unknown disease history),States,New Mexico,2012-13,NA,29279,3.3,‡ ,,2-stage Cluster Sample
Varicella,1 Dose (unknown disease history),States,New Mexico,2009-10,NA,26318,2.2,,,Random sample
Varicella,1 Dose (unknown disease history),States,New Mexico,2010-11,NA,,,,,NA
Varicella,2 Doses (unknown disease history),States,New Mexico,2014-15,97.2,29918,3.3,†,,Stratified 2-stage cluster sample
Varicella,2 Doses (unknown disease history),States,New Mexico,2020-21,95.3,20589,100,*,,Census
Varicella,2 Doses (unknown disease history),States,New Mexico,2019-20,96.7,23087,100,*,,Census
Varicella,2 Doses (unknown disease history),States,New Mexico,2017-18,94.5,26896,99.6,,,Stratified 2-stage cluster sample
Varicella,2 Doses (unknown disease history),States,New Mexico,2018-19,95.7,25269,99.6,,,Census
Varicella,2 Doses (unknown disease history),States,New Mexico,2015-16,95.8,29049,2.7,†,,Stratified 2-stage cluster sample
Varicella,2 Doses (unknown disease history),States,New Mexico,2016-17,94.6,27119,4.5,,,Stratified 2-stage cluster sample
