Vaccine/Exemption,Dose,Geography Type,Geography,School Year,Estimate (%),Population Size,Percent Surveyed,Footnotes,Number of Exemptions,Survey Type
Varicella,2 Doses (or disease history),States,Delaware,2009-10,89,11327,9.2,NULL,NULL,Random sample
Varicella,2 Doses (or disease history),States,North Dakota,2009-10,89.6,8323,6,¶,NULL,Random sample
Varicella,2 Doses (or disease history),States,Wisconsin,2009-10,90.3,61095,2.3,¶,NULL,Random sample
Varicella,2 Doses (or disease history),States,Florida,2009-10,91.3,218630,100,≥. * .§,NULL,Census
Varicella,2 Doses (or disease history),States,Louisiana,2009-10,93.7,53846,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Minnesota,2009-10,94,70653,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,New Mexico,2009-10,94.9,26318,2.2,NULL,NULL,Random sample
Varicella,2 Doses (or disease history),States,Texas,2009-10,96.8,381425,98.3,NULL,NULL,Census
Varicella,1 Dose (or disease history),States,Indiana,2024-25,NReq,73744,92.7,§,NULL,"Census (pub.), vol. response (prv.)"
Varicella,1 Dose (or disease history),States,Iowa,2024-25,NReq,38268,100,>=. *,NULL,Census
Varicella,1 Dose (or disease history),States,Oregon,2025-26,92.9,37309,100,NULL,NULL,Census
Varicella,1 Dose (or disease history),States,Oklahoma,2025-26,92.9,47844,90.7,NULL,NULL,"Census (pub.), vol. response (prv.)"
Varicella,1 Dose (or disease history),States,Wyoming,2025-26,92.6,6146,100,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,Oregon,2009-10,NReq,44676,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Pennsylvania,2009-10,NReq,149656,100,*,NULL,Census
Varicella,1 Dose (or disease history),States,New Jersey,2025-26,92.5,101602,92.3,NULL,NULL,Census
Varicella,1 Dose (or disease history),States,Arizona,2025-26,92.3,73907,92.5,NULL,NULL,"Census (pub.), vol. response (prv.)"
Varicella,1 Dose (or disease history),States,Georgia,2025-26,NReq,118864,100,NULL,NULL,Census
Varicella,1 Dose (or disease history),States,Florida,2025-26,NReq,213535,100,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,California,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Colorado,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Connecticut,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Delaware,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,District of Columbia,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Florida,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Georgia,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Hawaii,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Idaho,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Illinois,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Indiana,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Iowa,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Kansas,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Kentucky,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Louisiana,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Maine,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Maryland,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Massachusetts,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Michigan,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Minnesota,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Mississippi,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Missouri,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Montana,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Nebraska,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,1 Dose (or disease history),States,Washington,2025-26,NReq,75631,99.1,NULL,NULL,Census
Varicella,1 Dose (or disease history),States,Virginia,2025-26,NReq,88950,95.7,NULL,NULL,Census
Varicella,1 Dose (or disease history),States,Vermont,2025-26,NReq,5298,100,NULL,NULL,Census
Varicella,1 Dose (or disease history),States,Utah,2025-26,NReq,44001,100,NULL,NULL,Census
Varicella,1 Dose (or disease history),States,Alabama,2025-26,97.6,53378,100,NULL,NULL,Census
Varicella,1 Dose (or disease history),States,California,2025-26,NReq,614405,100,NULL,NULL,Census
Varicella,1 Dose (or disease history),States,Arkansas,2025-26,NReq,35543,96.7,NULL,NULL,"Census (pub.), vol. response (prv.)"
Varicella,1 Dose (or disease history),States,Alaska,2025-26,NReq,8253,60.9,NULL,NULL,"Vol. response (public), not conducted (private)"
Varicella,1 Dose (or disease history),States,Connecticut,2025-26,NReq,33118,100,NULL,NULL,Census
Varicella,1 Dose (or disease history),States,New York,2025-26,NReq,203514,95.8,NULL,NULL,"Census (pub.), vol. response (prv.)"
Varicella,1 Dose (or disease history),States,New Mexico,2025-26,NReq,19843,100,NULL,NULL,Census
Varicella,1 Dose (or disease history),States,Ohio,2025-26,NReq,129087,95.9,NULL,NULL,"Census (pub.), vol. response (prv.)"
Varicella,1 Dose (or disease history),States,New Hampshire,2025-26,NReq,11544,100,NULL,NULL,Census
Varicella,1 Dose (or disease history),States,Nevada,2025-26,NReq,32815,93.6,NULL,NULL,"Census (pub.), vol. response (prv.)"
Varicella,2 Doses (or disease history),States,South Dakota,2011-12,95.5,12127,100,*,NULL,Census
Varicella,1 Dose (or disease history),States,Missouri,2025-26,NReq,66610,100,NULL,NULL,Census
Varicella,1 Dose (or disease history),States,Mississippi,2025-26,NReq,34969,100,NULL,NULL,Census
Varicella,1 Dose (or disease history),States,Louisiana,2025-26,NReq,50223,100,NULL,NULL,Census
Varicella,1 Dose (or disease history),States,Minnesota,2025-26,NReq,63451,99.9,NULL,NULL,Census
Varicella,1 Dose (or disease history),States,Maine,2025-26,NReq,11634,94.4,NULL,NULL,Census
Varicella,1 Dose (or disease history),States,South Carolina,2025-26,NReq,57542,26.2,NULL,NULL,Stratified 1-stage cluster sample
Varicella,2 Doses (or disease history),States,Maryland,2011-12,NReq,72957,67.2,NULL,NULL,Voluntary Response
Varicella,2 Doses (or disease history),States,Utah,2011-12,NReq,53800,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Maine,2011-12,NReq,13829,97,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,Kentucky,2011-12,NReq,58185,91.8,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,Montana,2011-12,NReq,12128,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,New Hampshire,2011-12,NA,13022,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Wyoming,2011-12,NA,NULL,NULL,NULL,NULL,Not conducted
Varicella,2 Doses (or disease history),States,New Jersey,2011-12,NReq,118669,96.6,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,Alaska,2011-12,NA,10286,7.3,NULL,NULL,Non-random Cluster Sample
Varicella,2 Doses (or disease history),States,South Dakota,2009-10,97.7,11499,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Georgia,2009-10,99.6,141949,1.2,NULL,NULL,Random sample
Varicella,2 Doses (or disease history),States,Mississippi,2009-10,99.7,46922,100,≥. *,NULL,Census
Varicella,2 Doses (or disease history),States,Kentucky,2009-10,NReq,56526,92.9,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,Indiana,2009-10,NReq,84390,94.7,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,Illinois,2009-10,NReq,165845,100,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,Idaho,2009-10,NReq,22624,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Maine,2009-10,NReq,14162,75.3,NULL,NULL,Voluntary response
Varicella,2 Doses (or disease history),States,California,2009-10,NReq,507191,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Colorado,2009-10,NA,NULL,NULL,NULL,NULL,Not conducted
Varicella,2 Doses (or disease history),States,Maryland,2009-10,NReq,75061,75,NULL,NULL,Voluntary response
Varicella,2 Doses (or disease history),States,Massachusetts,2009-10,NReq,74476,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Michigan,2009-10,NReq,129810,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Connecticut,2009-10,NReq,46158,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Hawaii,2009-10,NReq,18427,6.4,NULL,NULL,Random sample
Varicella,2 Doses (or disease history),States,Missouri,2009-10,NReq,75958,3,NULL,NULL,Random sample
Varicella,2 Doses (or disease history),States,District of Columbia,2009-10,NA,6092,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Montana,2009-10,NReq,12335,98.8,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,Nebraska,2009-10,NReq,29607,96.4,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,Nevada,2009-10,NReq,35209,5.6,NULL,NULL,Random sample
Varicella,2 Doses (or disease history),States,New Hampshire,2009-10,NA,NULL,NULL,NULL,NULL,Not conducted
Varicella,2 Doses (or disease history),States,New Jersey,2009-10,NReq,118347,95.1,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,New York,2009-10,NReq,229273,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,North Carolina,2009-10,NReq,116087,96,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,Ohio,2009-10,NReq,131137,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Oklahoma,2009-10,NReq,51128,88.9,NULL,NULL,Voluntary response
Varicella,2 Doses (or disease history),States,Utah,2012-13,NReq,54605,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,South Carolina,2012-13,NReq,61799,17.9,NULL,NULL,1-Stage Cluster Sample
Varicella,2 Doses (or disease history),States,Oregon,2012-13,NReq,47102,100,*. ‡,NULL,Census
Varicella,2 Doses (or disease history),States,Illinois,2012-13,NReq,166884,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,South Carolina,2009-10,NReq,53725,10.2,NULL,NULL,Random sample
Varicella,2 Doses (or disease history),States,Tennessee,2009-10,NReq,90811,88.1,NULL,NULL,Voluntary response
Varicella,2 Doses (or disease history),States,Utah,2009-10,NReq,49957,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Virginia,2009-10,NReq,100891,4.4,NULL,NULL,Random sample
Varicella,2 Doses (or disease history),States,Wyoming,2009-10,NA,NULL,NULL,NULL,NULL,Not conducted
Varicella,2 Doses (or disease history),States,Alaska,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Arizona,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Arkansas,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Washington,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Virginia,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Vermont,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Utah,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Texas,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Tennessee,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,South Dakota,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,South Carolina,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Rhode Island,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Pennsylvania,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Oregon,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Oklahoma,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Ohio,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,North Dakota,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,North Carolina,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,New York,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,New Mexico,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,New Jersey,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,New Hampshire,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Alabama,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Wisconsin,2011-12,91,70672,2.3,NULL,NULL,2-stage Cluster Sample
Varicella,2 Doses (or disease history),States,Iowa,2011-12,91.1,40978,100,≥. *,NULL,Census
Varicella,2 Doses (or disease history),States,Rhode Island,2011-12,91.3,12552,13.9,NULL,NULL,2-stage Cluster Sample
Varicella,2 Doses (or disease history),States,Indiana,2011-12,91.9,83416,67.5,NULL,NULL,Voluntary Response
Varicella,2 Doses (or disease history),States,Florida,2011-12,92.6,225532,100,≥. * .§,NULL,Census
Varicella,2 Doses (or disease history),States,Massachusetts,2011-12,92.7,79551,97.5,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,Michigan,2011-12,93.2,124962,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,New Mexico,2011-12,94.2,29159,2,NULL,NULL,2-stage Cluster Sample
Varicella,2 Doses (or disease history),States,Minnesota,2011-12,94.9,71213,99.2,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,Missouri,2011-12,95.1,75240,4.7,NULL,NULL,2-stage Cluster Sample
Varicella,2 Doses (or disease history),States,Arkansas,2011-12,95.4,38754,92.2,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,Ohio,2011-12,95.4,146144,94.5,NULL,NULL,Convenient
Varicella,2 Doses (or disease history),States,South Carolina,2013-14,NReq,61661,11,NULL,NULL,1-stage stratified sample
Varicella,2 Doses (or disease history),States,Alabama,2011-12,NReq,73190,100,* .**,NULL,Census
Varicella,2 Doses (or disease history),States,Arizona,2011-12,NReq,88293,96.9,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,New York,2011-12,NReq,236016,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,North Carolina,2011-12,NReq,128854,95.4,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,Georgia,2011-12,96.6,143065,1.9,NULL,NULL,2-stage Cluster Sample
Varicella,2 Doses (or disease history),States,Nebraska,2011-12,96.8,26715,96.6,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,Delaware,2011-12,96.9,11327,7.4,≥,NULL,2-stage Cluster Sample
Varicella,2 Doses (or disease history),States,Connecticut,2011-12,97.1,45695,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Louisiana,2011-12,97.2,69013,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Tennessee,2011-12,97.3,83950,99.9,≥,NULL,Census
Varicella,2 Doses (or disease history),States,Mississippi,2011-12,99.2,44912,100,≥. *,NULL,Census
Varicella,2 Doses (or disease history),States,Texas,2011-12,99.2,388178,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,South Carolina,2011-12,NReq,59307,10.7,NULL,NULL,1-stage Cluster Sample
Varicella,2 Doses (or disease history),States,Vermont,2011-12,90.3,6548,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Nevada,2011-12,90.3,36557,5.2,NULL,NULL,2-stage Cluster Sample
Varicella,2 Doses (or disease history),States,Washington,2011-12,90.4,85134,89.1,NULL,NULL,Voluntary Response
Varicella,2 Doses (or disease history),States,Virginia,2011-12,90.6,101121,4.3,NULL,NULL,2-stage Cluster Sample
Varicella,2 Doses (or disease history),States,Florida,2012-13,92.1,234628,100,≥. *. §,NULL,Census
Varicella,2 Doses (or disease history),States,Nevada,2012-13,92.2,36070,4.3,NULL,NULL,2-stage Cluster Sample
Varicella,2 Doses (or disease history),States,Michigan,2012-13,92.9,124662,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Massachusetts,2012-13,93.6,79661,97.6,‡,NULL,Census
Varicella,2 Doses (or disease history),States,Indiana,2012-13,93.9,86983,83.4,NULL,NULL,Voluntary Response
Varicella,2 Doses (or disease history),States,New Mexico,2012-13,94,29279,3.3,‡,NULL,2-stage Cluster Sample
Varicella,2 Doses (or disease history),States,Rhode Island,2012-13,94.2,12552,75.2,‡,NULL,Voluntary Response
Varicella,2 Doses (or disease history),States,Tennessee,2012-13,94.5,85801,97,≥,NULL,Census
Varicella,2 Doses (or disease history),States,Nebraska,2012-13,94.7,24999,96.6,‡,NULL,Census
Varicella,2 Doses (or disease history),States,Georgia,2012-13,95.1,142732,2.4,≥,NULL,2-stage Cluster Sample
Varicella,2 Doses (or disease history),States,Ohio,2012-13,95.7,163687,86.9,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,Delaware,2012-13,95.7,11997,7.8,≥,NULL,2-stage Cluster Sample
Varicella,2 Doses (or disease history),States,Minnesota,2012-13,95.9,73310,100,*. ‡,NULL,Census
Varicella,2 Doses (or disease history),States,South Dakota,2012-13,96,12468,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Missouri,2012-13,96.1,78416,5.9,NULL,NULL,2-stage Cluster Sample
Varicella,2 Doses (or disease history),States,West Virginia,2012-13,96.2,22588,86.5,NULL,NULL,Voluntary Response
Varicella,2 Doses (or disease history),States,Louisiana,2012-13,96.5,68874,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Connecticut,2012-13,96.8,41604,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Wyoming,2012-13,97,8133,100,* .¶,NULL,Census
Varicella,2 Doses (or disease history),States,Texas,2012-13,97.2,414688,96.6,‡,NULL,Census
Varicella,2 Doses (or disease history),States,Mississippi,2012-13,99.9,46595,100,≥. *,NULL,Census
Varicella,2 Doses (or disease history),States,Maryland,2012-13,NReq,75007,84.3,‡,NULL,Voluntary Response
Varicella,2 Doses (or disease history),States,Maine,2012-13,NReq,14313,94.6,‡,NULL,Census
Varicella,2 Doses (or disease history),States,Kentucky,2012-13,89.5,58466,97.2,‡,NULL,Census
Varicella,2 Doses (or disease history),States,Vermont,2012-13,90.1,6792,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Washington,2012-13,90.3,87773,94.7,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,Iowa,2012-13,90.5,41701,99.9,≥,NULL,Census
Varicella,2 Doses (or disease history),States,Oklahoma,2012-13,NReq,56943,95.5,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,Hawaii,2012-13,NReq,20104,6.7,NULL,NULL,2-stage Cluster Sample
Varicella,2 Doses (or disease history),States,North Carolina,2012-13,NReq,130612,97.3,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,New York,2012-13,NReq,239484,100,*. ‡,NULL,Census
Varicella,2 Doses (or disease history),States,New Jersey,2012-13,NReq,122516,96.7,‡,NULL,Census
Varicella,2 Doses (or disease history),States,New Hampshire,2012-13,NA,12943,99.2,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,Montana,2012-13,NReq,12516,95.8,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,Nevada,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Wyoming,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,Wisconsin,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,West Virginia,2010-11,NA,NULL,NULL,NULL,NULL,NA
Varicella,2 Doses (or disease history),States,New Hampshire,2013-14,94.7,13240,100,≥. *,NULL,Census
Varicella,2 Doses (or disease history),States,Rhode Island,2013-14,94.7,11521,99.1,‡,NULL,Census
Varicella,2 Doses (or disease history),States,Nebraska,2013-14,94.9,27000,97.3,‡,NULL,Census
Varicella,2 Doses (or disease history),States,Tennessee,2013-14,94.9,80212,99.8,≥,NULL,Census
Varicella,2 Doses (or disease history),States,South Dakota,2013-14,95.3,12566,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,West Virginia,2013-14,95.5,22814,84.7,NULL,NULL,Voluntary response
Varicella,2 Doses (or disease history),States,Ohio,2013-14,95.7,150000,92.5,NULL,NULL,Census
Varicella,2 Doses (or disease history),States,Louisiana,2013-14,96.1,63976,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Delaware,2013-14,96.4,11997,12.2,≥,NULL,Stratified  2-stage cluster sample
Varicella,2 Doses (or disease history),States,Connecticut,2013-14,96.7,40978,100,*,NULL,Census
Varicella,2 Doses (or disease history),States,Texas,2013-14,97.2,409255,97.1,‡,NULL,Census
Varicella,2 Doses (or disease history),States,Mississippi,2013-14,99.7,45719,100,≥. *,NULL,Census
Varicella,2 Doses (or disease history),States,Wyoming,2013-14,NA,NULL,NULL,NULL,NULL,Not conducted
