State,Bill Number,1 Include in brief,1 Enacted 0 not enacted,1 Good 0 Bad,Text Description,Comments,Bill status,Bill valency 
Missouri,MO SB 548,1,0,0,Would put new guidelines on pharmacists' ability to order and administer certain vaccines.,Died in committee,Not enacted,Bad
Missouri,MO SJR 37,1,0,0,"Would prohibit laws or policies from infringing upon individuals' right to refuse medical procedures, including vaccination.",Died in committee,Not enacted,Bad
Nebraska,NE LB 202,1,0,1,Allows pharmacy technicians to administer vaccines.,2023-24 session,Not enacted,Good
Nebraska,NE LB 374,1,0,0,"Would establish parental bill of rights, including immunization opt out information.",2023-24 session,Not enacted,Bad
Nebraska,NE LB 1028,1,0,0,Would require that local and county health departments receive state-level approval for vaccination efforts.,2023-24 session,Not enacted,Bad
Nebraska,NE LB 1027,1,0,0,"Would allow child's ""education decision maker"" (in addition to parent/guardian) to provide vaccine exemption.",2023-24 session,Not enacted,Bad
Nevada,NV SB 192,1,0,1,Would require health insurance plans to cover recommended childhood vaccines.,Failed,Not enacted,Good
New Hampshire,NH SB 60 & HB 357,1,0,0,"Would remove school requirement for varicella, Hepatitis B, and Hib vaccines.",Died in chamber,Not enacted,Bad
New Hampshire,NH HB 358,1,0,0,"Would eliminate the form needed to obtain a religious exemption, allowing such exemptions with just signed parental statement.",Vetoed by governor,Not enacted,Bad
New Hampshire,NH HB 679,1,0,0,Would prohibit requiring immunization with vaccines that have not been shown to prevent transmission of disease in clinical trials.,Died in chamber,Not enacted,Bad
New Hampshire,NH HB 524,1,0,0,"Would repeal NH Vaccine Association, which is responsible for state's universal purchase of vaccines.",Retained - will come back next session for a vote,Not enacted,Bad
New Hampshire,NH HB 10,1,1,0,"Establishes parental bill of rights regarding child's education, allowing for religious immunization exemptions.",Signed by governor,Enacted,Bad
New Jersey,NJ A 624,,0,0,Would establish state-level vaccine adverse event reporting system specifically for children,Referred to committee – Unclear if this is good or bad,Not enacted,Bad
New Jersey,NJ A 1899,1,1,1,"Allows pharmacists, pharmacy interns, and pharmacy technicians to vaccinate children without prescription.",Signed into law,Enacted,Good
New Jersey,NJ S 4067,,0,,Would require health insurance carriers to reimburse for vaccines at rates consistent with CDC cost per dose,"Still in committee - NJ does not really adjourn, they can still come back this fall",Not enacted,Bad
New Jersey,NJ A 1307,1,0,0,Would add additional requirements to obtain consent for vaccination.,Was introduced in 2024 but is still part of current session and can still be voted on,Not enacted,Bad
New Jersey,NJ A 1523,1,0,0,Would require parents to opt in to NJ Immunization Information System.,Referred to committee,Not enacted,Bad
New Jersey,NJ S 379,1,0,0,"Would create a ""Children's Vaccination Bill of Right"", emphasizing vaccine opt-out.",2023-24 session,Not enacted,Bad
New Jersey,NJ S 377,1,0,0,Would require that information on VAERS reporting and opt-out be provided before any vaccine administration.,2023-24 session,Not enacted,Bad
New York,NY S 7729,1,0,1,Would require rotavirus immunization for school attendance.,Referred to committee,Not enacted,Good
New York,NY S 7823 & NY A 8383,1,0,1,Would remove reference to ACIP in the state’s meningococcal vaccine recommendation.,Referred to committee,Not enacted,Good
New York,NY S 7851 & NY A 8343,,0,1,Would add failure to immunize child to definition of parental neglect,Dead,Not enacted,Good
New York,NY S 369 & NY A 7642,,0,1,Would protect vaccinated persons from discrimination,Referred to committee,Not enacted,Good
New York,NY A 7692 & NY S 5706,,0,1,Would allow nursing students to administer vaccines,Kind of neutral - still in committee,Not enacted,Good
New York,NY A 7988,,0,1,Would allow physician assistants to independently administer vaccines,Referred to committee,Not enacted,Good
New York,NY S 5852,,0,,Would require insurance reimbursement for total practice expenses associated with vaccinations,Referred to committee,Not enacted,Bad
New York,NY S 7025,,0,1,Would allow pharmacy technicians to administer vaccines under pharmacist supervision,Referred to committee,Not enacted,Good
New York,NY S 5700,,0,1,Would remove religious exemptions for post-secondary students,Referred to committee - not relevant for school-aged children but still interesting,Not enacted,Good
New York,NY A 4993,,0,0,Would establish liability against the state for injury caused by administration of state-mandated vaccine,Referred to committee,Not enacted,Bad
New York,NY A 3860,,0,,Would direct schools to accept medical immunization exemptions,Referred to committee  - don't understand what this adds,Not enacted,Bad
New York,NY A 3254 + NY S 3958,,0,1,Would require immunizations for children and staff at summer camps,Referred to committee,Not enacted,Good
New York,NY S 3299 & NY A 3455,,0,0,Would require parents to be present during vaccine administration,Referred to committee,Not enacted,Bad
New York,NY S 3547,,0,1,Would require school-based health centers to offer vaccination,Referred to committee,Not enacted,Good
New York,NY A 2045,,0,0,Would remove school immunization requirements,Referred to committee,Not enacted,Bad
New York,NY A 2078,,0,1,Would require hepatitis B vaccination for post-secondary students,Referred to committee – not relevant for school-aged children but still interesting,Not enacted,Good
New York,NY S 3020,1,0,0,Would exempt private and parochial schools from immunization requirements.,Referred to committee,Not enacted,Bad
New York,NY S 266 & NY A 1358,1,0,0,Would allow for religious vaccination exemptions.,Referred to committee,Not enacted,Bad
New York,NY A 1153,,0,1,Would require schools to use standardized medical immunization exemption request form ,Referred to committee - unclear if this is good?,Not enacted,Good
New York,NY A 3082,0,0,1,Would require middle schools and high schools to provide instruction on vaccine science,Referred to committee,Not enacted,Good
New York,NY S 1570,1,0,1,Would permit children 14 years and older to receive vaccinations without parental consent.,Referred to committee,Not enacted,Good
New York,NY A 1908,1,0,0,Would require providers to provide additional information about vaccines 48 hours ahead of administering.,Referred to committee,Not enacted,Bad
New York,NY S 453,,0,1,Would require NYC providers to report immunization for those 19 and older to DOH/city immunization registry,Not relevant to target population but interesting,Not enacted,Good
New York,NY S 4536,,0,1,Would require IIS to record data on vaccine exemptions reported by each health care provider,Referred to committee,Not enacted,Good
North Carolina,NC SB 335,1,0,1,Would allow pharmacists to administer vaccines.,Recessed,Not enacted,Good
North Carolina,NC HB 803,1,0,0,Would require vaccines added to state immunization schedule to have been approved by FDA for at least 3 years.,Recessed,Not enacted,Bad
North Carolina,NC SB 373,1,0,0,Would prohibit health care providers from refusing patients who are not up-to-date on vaccinations.,Recessed,Not enacted,Bad
North Carolina,NC HB 380,1,0,0,"Would expand non-medical vaccination exemptions to include ""conscientious objections"".",Recessed,Not enacted,Bad
North Carolina,NC HB 89,,0,0,Would remove immunization requirements for college students in the state,Recessed,Not enacted,Bad
North Carolina,NC HB 75,,0,,Would add requirements for commercial messaging about vaccines,Not really relevant but interesting,Not enacted,Bad
Ohio,OH HB 319,1,0,0,Would prohibit discrimination based on vaccination status.,2023-24 session,Not enacted,Bad
Ohio,OH HB 289,1,0,1,"Would establish a universal health care plan for state residents, including coverage for immunizations.",Referred to committee,Not enacted,Good
Ohio,OH SB 144,1,0,1,Would allow pharmacists and pharmacy technicians to administer vaccines to children 5 and over.,2023-24,Not enacted,Good
Oklahoma,OK SB 943,1,0,0,"Would create ""Oklahoma Medical Freedom Act"" to prevent discrimination due to vaccination status.",Died in committee,Not enacted,Bad
Oklahoma,OK HB 1475,1,0,0,Would prohibit school discrimination against students due to vaccination status.,Died in committee,Not enacted,Bad
Oklahoma,OK SB 762,,0,,Would prevent state from basing decisions on World Health Organization mandates,Died in committee but thought it was interesting,Not enacted,Bad
Oklahoma,OK SB 941,1,0,0,Would add additional requirements for labeling vaccine ingredients.,Died in committee,Not enacted,Bad
Oklahoma,OK SB 879,,0,0,Would prohibit administration of Hepatitis B birth dose vaccination without written consent,Died in committee and not relevant for school-aged children ,Not enacted,Bad
Oklahoma,OK SB 807,1,0,0,Would require providers to give caregivers additional information and obtain written consent before administering vaccines.,Died in committee,Not enacted,Bad
Oklahoma,OK HB 3249,1,0,0,Would allow conscientious exemptions to childcare vaccine requirements.,2023-24 ,Not enacted,Bad
Oregon,OR SB 1100,,0,0,Would prohibit schools from requiring any mRNA vaccines for enrollment,Failed,Not enacted,Bad
Oregon,OR SB 383,1,0,0,Would prohibit discrimination based on vaccination status.,Failed,Not enacted,Bad
Oregon,OR HB 4010,1,1,1,Allows pharmacists to vaccinate children age 3 and over.,Enacted 2023-24,Enacted,Good
Oregon,OR SB 42,1,0,1,Would provide funding to Oregon Health Authority for vaccine purchasing.,Failed,Not enacted,Good
Pennsylvania,PA HB 695,1,0,0,"Would require providers to continue caring for children who do not follow the recommended vaccine schedule, as long as they receive one vaccine each year.",Referred to committee ,Not enacted,Bad
Pennsylvania,PA HB 617,1,0,0,"Would allow individuals to refuse any vaccine based on ""medical freedom"".",Referred to committee ,Not enacted,Bad
Pennsylvania,PA HB 447,1,0,0,Would require schools to disseminate information on vaccination exemptions.,Referred to committee ,Not enacted,Bad
Pennsylvania,PA SB 957,,0,0,Would require providers to disclose vaccination status of available blood to patients ahead of transfusion.,Not relevant for our purposes but interesting (and impractical),Not enacted,Bad
Pennsylvania,PA HB 120,1,0,0,Would require guardians to provide consent for the administration of vaccines to children under 18.,Referred to committee ,Not enacted,Bad
Pennsylvania,PA HB 2244,1,0,1,Would require schools to report the number of vaccinated/unvaccinated students on their website.,2023-24,Not enacted,Good
Georgia,GA HB 173,0,0,1,Require the Department of Education to provide parents and guardians of students entering the sixth grade information regarding recommended adolescent vaccinations in print or electronic form; to provide for related matters; to repeal conflicting laws; and for other purposes.,Died in chambers,Not enacted,Good
Georgia,GA HB 576,0,0,,Require that vaccination status cannot be used to make decisions surrounding organ donation receipt.,Died in chambers,Not enacted,Bad
Georgia,GA SB 345,0,1,0,Prohibit any governmental entity (state and local) from mandating vaccine passports or requiring proof of COVID-19 vaccination to access services or facilities,,Enacted,Bad
Hawaii,HI HB 2392,0,1,1,Makes an emergency appropriation for coronavirus disease 2019 pandemic mitigation including vaccination response activities. ,,Enacted,Good
Hawaii,HI HB 72,,1,1,Requires pharmacy technicians be registered to perform their duties (including administration vaccines),,Enacted,Good
Hawaii,HI HR169-2025,1,1,1,"Urges the DOH to undertake preliminary education, outreach, and vaccination drive efforts at school in Hawaii with vaccination rates under 30%. ",,Enacted,Good
Hawaii,HI SB 1434,1,1,1,Establishes a universal funding model for immunization purchases by the DOH to increase statewide access to immunization for all persons under age 65. ,,Enacted,Good
Hawaii,HI SB 1437,1,0,1,Would repeal non-medical exemptions from immunization requirements.,Died in committee,Not enacted,Good
Hawaii,HI SCR 129-2025,0,0,1,"Urging The Department Of Health To Undertake Preliminary Education, Outreach, And Vaccination Drive Efforts At Schools In Hawaii With Vaccination Rates Under Fifty Percent, Prioritizing Schools With Vaccination Rates Under Thirty Percent, Beginning At The Start Of The 2025-2026 School Year.",Died in committee,Not enacted,Good
Hawaii,HI SR 108-2025,0,0,1,"Urging The Department Of Health To Undertake Preliminary Education, Outreach, And Vaccination Drive Efforts At Schools In Hawaii With Vaccination Rates Under Fifty Percent, Prioritizing Schools With Vaccination Rates Under Thirty Percent, Beginning At The Start Of The 2025-2026 School Year.",Died in committee,Not enacted,Good
Idaho,ID H131,0,0,0,"Require blood donations to be labeled if the donor had received a COVID-19 or other mRNA vaccine, allowing requests based on such labeling",Died in committee,Not enacted,Bad
Idaho,ID H135,,1,,Removes immunization services from list of those that do not require verification of lawful presence in the US,,Enacted,Bad
Idaho,ID H290,1,1,0,"Removes the responsibility of the board of health to determine the school/daycare vaccine schedule, instead listing certain vaccines directly in the statute (and specifying exemption information).",,Enacted,Bad
Idaho,ID H397,1,1,0,Changes IIS inclusion from opt-out to opt-in.,,Enacted,Bad
Idaho,ID H438 & ID SF 2196,1,0,0,Would require all communications about vaccine requirements to include information about exemptions. ,Died in committee,Not enacted,Bad
Idaho,ID H472,,0,0,Amends existing law to prohibit medical mandates under certain conditions,Died in committee,Not enacted,Bad
Idaho,ID H597,1,1,0,Allows students of majority age to submit their own exemptions from school immunization requirements. ,,Enacted,Bad
Idaho,ID H91,,1,0,Repeal the Idaho Childhood Immunization Policy Commission,,Enacted,Bad
Idaho,ID S 1023,,0,0,Prohibit the mandate of any medical intervention by the state,Vetoed - Idaho Senators introduced a new bill ID S 1210 and House reintroduced their own version ID H 472,Not enacted,Bad
Idaho,ID S 1038,1,1,0,Prohibits the state from being compelled to engaged in the enforcement of requirements or mandates issued by WHO.,,Enacted,Bad
Idaho,ID S 1210,1,1,0,"Prohibits the mandate of any medical interventions, including vaccines, in the state (excluding facilities who receive Medicaid/Medicare and [pending legal interpretation] schools).",,Enacted,Bad
Idaho,ID SC R102,0,1,,"Establishes a legislative committee to study the state's response to the COVID-19 pandemic, noting as justification for the study that ""there is a rapidly growing increase in credible clinical and medical research data indicating the COVID-19 vaccines are not efficacious and are potentially dangerous""",,Enacted,Bad
Illinois,IL HB 1073,0,0,,Amend the college/university Tdap vaccine requirement to allow 1 dose in the last 10 years (instead of all 3 required doses) if the student is in the process of completing catchup,Passed both chambers; sent to the governor,Not enacted,Bad
Illinois,IL HB 2600,0,,0,"Creates the COVID-19 vaccination employer mandate prohibition act, provides that it is unlawful for an employer in the State of Illinois to create, implement, or otherwise enforce a workplace vaccination program that requires any employee to demonstrate to the employer that he or she has received or its related booster that was approved under emergency use authorization by the United States Food and Drug Administration.",25% progression,Not enacted,Bad
Illinois,IL HB 4929,0,1,1,"Licensed optometrist may independently administer the influenza vaccine, the COVID-19 vaccine, or the shingles vaccine upon completion of the required training. The vaccination for influenza and COVID-19 shall be limited to patients 5 years of age and older. ",,Enacted,Good
Illinois,IL HB 5853,,0,,Allow 1 Tdap vaccine in the past year to satisfy the college vaccine requirement (instead of 3 documented doses).,Failed to passed,Not enacted,Bad
Illinois,IL HR 613,0,1,1,Urges the health department to continue working with partners and patients to facilitate equitable access to adolescent and adult vaccinations. ,,Enacted,Good
Illinois,IL SB 2286,,,1,A health insurer issuer or a contracted utilization review organization may not require prior authorization for preventive health services recommended by a health care professional. ,25% progression,Not enacted,Good
Illinois,IL SB 2494,,0,,Specify that respiratory care practitioners with appropriate training are allowed to vaccinate those 18 years and older,Passed both chambers,Not enacted,Bad
Illinois,IL SB 2744,,0,1,"Prohibit insurers from having any form of cost sharing (including deductible, coinsurance, copayment, or any other cost-sharing requirement) for vaccine administration. ",Failed to passed,Not enacted,Good
Indiana,IN HB 1168,1,0,0,Would prohibit vaccine mandates across settings.,Died in committee,Not enacted,Bad
Indiana,IN HB 1344,1,0,0,Would require DOH to establish state-level vaccination adverse event reporting system.,Died in committee,Not enacted,Bad
Indiana,IN SB 96,1,0,1,Would allow pharmacists to administer any ACIP-recommended vaccines. ,Died in committee,Not enacted,Good
Iowa,IA HF 2298,0,1,0,"Prohibits the requirement for COVID-19 vaccine in child care centers or school prior to July 1, 2029",Formerly HF2040 - passed the house and moved to the senate (cannot find on Legiscan for update),Enacted,Bad
Iowa,IA HF 299,1,1,0,Requires any public communications about vaccines requirements to include information about vaccine exemptions.,,Enacted,Bad
Kansas,KS HB 2263,0,0,0,"Authorizing pharmacy technicians to administer certain vaccines, creating a civil cause of action against a physician and requiring revocation of a physician's license who performs a childhood gender reassignment service",Died in committee in the 2023-2024 legislative session. ,Not enacted,Bad
Kansas,KS SB 2007,0,0,0,Prohibiting the secretary of health and environment from requiring COVID-19 vaccination for care at child care facility or attendance at school. ,Failed to pass in the 2023-2024 legislative session.,Not enacted,Bad
Kansas,KS SB 315 and KS SB 20,1,0,0,Would require child care facilities and educational institutions grant exemptions from vaccine requirements without inquiring into the sincerity of the request.,Failed to pass in the 2023-2024 legislative session.,Not enacted,Bad
Kentucky,KY HB 177,0,0,0,"Prohibiting the state, any political subdivision of the state, or any governmental agency requiring a child to receive a COVID-19 vaccination",Died in committee in the 2024 legislative session,Not enacted,Bad
Kentucky,KY HB 274,1,1,1,Permits pharmacists to administer vaccines to children five years or older pursuant to prescriber-approved protocols with the consent of a parent or guardian.,Passed in the 2024 legislative session,Enacted,Good
Kentucky,KY SB 295,0,0,0,"Prohibit a requirement for any individual to receive a COVID-19 vaccine, modified ModRNA vaccine, or mRNA vaccine for the purpose of student enrollment, employment, or medical treatment in the Commonwealth",Died in committee in the 2024 legislative session,Not enacted,Bad
Louisiana,LA HB 400,1,0,0,"Would specify that informed parental consent is necessary for any medical treatment, including vaccination, for minors under 18.",Died in committee,Not enacted,Bad
Louisiana,LA HB 655,1,1,0,Increased the patient's fee for vaccines at public health units from $10 to $50.,,Enacted,Bad
Louisiana,LA HB 690,,1,0,Authorize surgeon general to promulgate new rules regarding administration of products under Emergency Use Authorization (EUA) - including vaccines,,Enacted,Bad
Louisiana,LA HB 866,0,0,,"Prohibits employment termination, denying of public services, segregation, discrimination, and penalties against someone who refused vaccination",Failed,Not enacted,Bad
Louisiana,LA HCR 3,0,0,0,Repeals the COVID-19 vaccine requirement to attend school,Died in committee,Not enacted,Bad
Louisiana,LA HR 214,,1,0,"Require the attorney general to investigate whether certain corporations violated any laws in the production, distribution, or sale of COVID-19 vaccinations. ",,Enacted,Bad
Maine,ME LD 174,1,0,0,Would restore religious exemptions to immunization requirements.,Failed to passed,Not enacted,Bad
Maine,ME LD 1883,1,0,1,"Would establish Maine State Health Plan for all residents, which would cover all childhood and adult vaccinations.",Failed to passed,Not enacted,Good
Maine,ME L D436 (HP 290),0,0,0,Prohibiting state agencies from promoting COVID-19 vaccine in any medium to children ,Failed to passed,Not enacted,Bad
Maine,ME LD 917 (HP 852),0,1,0,Repeals a provision of law stating that healthcare providers can't charge uninsured patients for COVID-19 vaccines,,Enacted,Bad
Maryland,MD HB 1315,1,1,1,Requires health insurers cover all costs associated with childhood and adolescent immunizations.,,Enacted,Good
Maryland,MD HB 286,,1,,"Delays the effective date of certain provisions of law that repeal the authority of paramedics to administer influenza and COVID-19 immunization under certain circumstances, relates to the authority of paramedics to administer immunizations. ",,Enacted,Bad
Maryland,MD HB 608,1,0,0,Would require county board of education to grant certain students temporary admission to schools for a certain time frame if parent/ guardian is unable to provide proof of immunization under certain circumstances.,Died in committee,Not enacted,Bad
Maryland,MD HB 76 & MD SB 18,0,1,,"Pharmacists with appropriate training and qualifications can provide an influenza vaccine, COVID-19 vaccine, and any other vaccine ""used in response to a public health emergency"" to those 3 years and older",,Enacted,Bad
Maryland,MD HB 974,1,1,1,Allows the health commissioner to adopt regulations as needed to ensure health insurers cover all vaccines recommended by the Advisory Committee on Immunization Practices (ACIP).,,Enacted,Good
Maryland,MD SB 210,0,,1,Extend paramedic authority to administer influenza and COVID-19 vaccines until 2030. ,,Not enacted,Good
Massachusetts,MA H 2431,0,,0,Restricting use of mRNA vaccines,25% progression,Not enacted,Bad
Michigan,MI HB 4079,1,0,0,Would prohibit department from requiring Hepatitis B vaccinations for children under certain circumstances.,Died in committee in the 2023-2024 legislative session. ,Not enacted,Bad
Michigan,MI SB 107,1,0,1,Would require insurers in the state to cover ACIP-recommended vaccines at pharmacies within insurer network.,"Engrossed on 4/22/25, 50% progression",Not enacted,Good
Michigan,MI SB 219,1,1,1,Permits pharmacists to order and administer certain vaccines under certain circumstances.,Passed in the 2023-2024 legislative session,Enacted,Good
Michigan,MI SR 50,1,1,1,Urges CDC to include new RSV immunization technologies (including vaccines and monoclonal antibodies) within the federal Vaccines for Children Program.,Passed in the 2023-2024 legislative session,Enacted,Good
"Puerto Rico Fundamental Right to Religious Freedom Act (Law No. 14 of April 13, 2025)","Puerto Rico Fundamental Right to Religious Freedom Act (Law No. 14 of April 13, 2025)",1,1,0,"This bill amends the island’s compulsory immunization law to forbid the government from voiding a religious vaccine exemption even during an epidemic, unless parents consent, and adds requirements to the informed consent process.",,Enacted,Bad
