vaccine_exemption,dose,geography_type,geography,school_year,estimate_percent,population_size,percent_surveyed,footnotes,number_of_exemptions,survey_type
MMR,NA,States,Louisiana,2023-24,92.4,51839,100,*,NULL,Census
MMR,NA,States,Louisiana,2024-25,92.6,49229,100,*,NULL,Census
MMR,NA,States,Louisiana,2025-26,90.3,50223,100,*,NULL,Census
MMR,NA,States,Maine,2020-21,94.3,13477,85,NULL,NULL,Voluntary response (public). census (private)
MMR,NA,States,Maine,2021-22,96.7,12881,91.6,NULL,NULL,Census
MMR,NA,States,Maine,2022-23,96.8,12403,93.9,NULL,NULL,Census
MMR,NA,States,Maine,2023-24,97.5,12087,93,NULL,NULL,Census
MMR,NA,States,Maine,2024-25,97.6,11761,95.4,NULL,NULL,Census
MMR,NA,States,Maine,2025-26,98,11634,94.4,NULL,NULL,Census
MMR,NA,States,Maryland,2020-21,87.6,65764,75.6,‡,NULL,Voluntary response
MMR,NA,States,Maryland,2021-22,93.9,53866,98.4,‡,NULL,Census
MMR,NA,States,Maryland,2022-23,96.7,59684,100,*. ‡,NULL,Census
MMR,NA,States,Maryland,2023-24,96.6,63224,100,>=. *. ‡,NULL,Census
MMR,NA,States,Maryland,2024-25,96.4,66135,95.6,‡,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,Maryland,2025-26,96.6,66945,97.8,�,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,Massachusetts,2020-21,95.9,60724,100,*.‡,NULL,Census
MMR,NA,States,Massachusetts,2021-22,96.2,65582,100,*. ‡,NULL,Census
MMR,NA,States,Massachusetts,2022-23,96.5,66041,100,*. ‡,NULL,Census
MMR,NA,States,Massachusetts,2023-24,96.3,65424,100,*. ‡,NULL,Census
MMR,NA,States,Massachusetts,2024-25,96.6,65581,100,*. ‡,NULL,Census
MMR,NA,States,Massachusetts,2025-26,96.5,65331,100,�,NULL,Census
MMR,NA,States,Michigan,2020-21,94.6,106657,100,*,NULL,Census
MMR,NA,States,Michigan,2021-22,93.6,114251,100,*,NULL,Census
MMR,NA,States,Michigan,2022-23,92.9,113678,100,*,NULL,Census
MMR,NA,States,Michigan,2023-24,92.1,110156,100,*,NULL,Census
MMR,NA,States,Michigan,2024-25,91.6,107636,100,*. ‡,NULL,Census
MMR,NA,States,Michigan,2025-26,90.9,104614,100,*. �,NULL,Census
MMR,NA,States,Minnesota,2020-21,89.8,66007,95.2,NULL,NULL,Census
MMR,NA,States,Minnesota,2021-22,89,69403,98.7,NULL,NULL,Census
MMR,NA,States,Minnesota,2022-23,87.6,68152,97.9,NULL,NULL,Census
MMR,NA,States,Minnesota,2023-24,87,66032,99.1,NULL,NULL,Census
MMR,NA,States,Minnesota,2024-25,86.5,64898,99.7,NULL,NULL,Census
MMR,NA,States,Minnesota,2025-26,85.7,63451,99.9,NULL,NULL,Census
MMR,NA,States,Mississippi,2020-21,98.9,34028,100,>=.*,NULL,Census
MMR,NA,States,Mississippi,2021-22,98.6,36524,100,>=. *,NULL,Census
MMR,NA,States,Mississippi,2022-23,98.4,36048,100,>=. *,NULL,Census
MMR,NA,States,Mississippi,2023-24,97.5,36105,100,>=. *,NULL,Census
MMR,NA,States,Mississippi,2024-25,97.6,35293,100,>=. *,NULL,Census
MMR,NA,States,Mississippi,2025-26,97,34969,100,>=. *,NULL,Census
MMR,NA,States,Missouri,2020-21,92.6,63093,100,*,NULL,Census
MMR,NA,States,Missouri,2021-22,91.6,71034,100,*,NULL,Census
MMR,NA,States,Missouri,2022-23,91.3,69126,100,*,NULL,Census
MMR,NA,States,Missouri,2023-24,90.4,69014,100,*,NULL,Census
MMR,NA,States,Missouri,2024-25,90,68163,100,*,NULL,Census
MMR,NA,States,Missouri,2025-26,89.5,66610,100,*,NULL,Census
MMR,NA,States,Montana,2016-17,93.8,11956,100,*,NULL,Census
MMR,NA,States,Montana,2017-18,93.2,12188,100,*,NULL,Census
MMR,NA,States,Montana,2018-19,93.3,12480,100,*,NULL,Census
MMR,NA,States,Montana,2019-20,93.6,12501,100,*,NULL,Census
MMR,NA,States,Montana,2020-21,92.9,11279,100,*,NULL,Census
MMR,NA,States,NY-City of New York,2020-21,97.4,91920,94.2,NULL,NULL,Census (public). voluntary response (private)
MMR,NA,States,NY-City of New York,2021-22,97.3,82938,99.8,NULL,NULL,Census
MMR,NA,States,NY-City of New York,2022-23,97.3,85379,97.6,NULL,NULL,"Census (pub.), vol. response (pvt.)"
MMR,NA,States,NY-City of New York,2023-24,96.7,85360,99.3,NULL,NULL,Census
MMR,NA,States,NY-City of New York,2024-25,97.1,85986,96.9,NULL,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,NY-City of New York,2025-26,97.1,82534,98.1,NULL,NULL,Census
MMR,NA,States,Nebraska,2020-21,95.5,25681,94.8,‡,NULL,Census (public). voluntary response (private)
MMR,NA,States,Nebraska,2021-22,96.2,25018,99.5,‡,NULL,Census
MMR,NA,States,Nebraska,2022-23,95.1,23176,100,*. ‡,NULL,Census
MMR,NA,States,Nebraska,2023-24,93.9,23118,100,*. ‡,NULL,Census
MMR,NA,States,Nebraska,2024-25,94.2,24102,100,*. ‡,NULL,Census
MMR,NA,States,Nebraska,2025-26,92.8,23807,100,*. �,NULL,Census
MMR,NA,States,Nevada,2020-21,96.1,34171,94.7,NULL,NULL,Census (public). voluntary response (private)
MMR,NA,States,Nevada,2021-22,92.7,36855,99.2,NULL,NULL,"Census (pub.), vol. response (pvt.)"
MMR,NA,States,Nevada,2022-23,92.8,34333,89.1,NULL,NULL,"Vol. response (pub.), census (pvt.)"
MMR,NA,States,Nevada,2023-24,91.9,31261,91.3,NULL,NULL,Census
MMR,NA,States,Nevada,2024-25,91.3,33272,92.6,NULL,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,Nevada,2025-26,90.8,32815,93.6,NULL,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,New Hampshire,2020-21,0,10242,57,>=. §,NULL,Voluntary response
MMR,NA,States,New Hampshire,2021-22,95,12157,100,>=. §. *,NULL,Census
MMR,NA,States,New Hampshire,2022-23,95,11332,100,>=. §. *,NULL,Census
MMR,NA,States,New Hampshire,2023-24,92.6,11871,100,>=. §. *,NULL,Census
MMR,NA,States,New Hampshire,2024-25,95.4,11713,100,>=. *. §,NULL,Census
MMR,NA,States,New Hampshire,2025-26,95.5,11544,100,>=. *. �,NULL,Census
MMR,NA,States,New Jersey,2020-21,94.3,100144,100,>=.*,NULL,Census
MMR,NA,States,New Jersey,2021-22,94.1,104240,100,>=. §. *,NULL,Census
MMR,NA,States,New Jersey,2022-23,94.3,104468,100,>=. §. *,NULL,Census
MMR,NA,States,New Jersey,2023-24,93.2,105408,100,>=. §. *,NULL,Census
MMR,NA,States,New Jersey,2024-25,92.8,104339,100,>=. *,NULL,Census
MMR,NA,States,New Jersey,2025-26,92.5,101602,92.3,>=. �,NULL,Census
MMR,NA,States,New Mexico,2020-21,95.7,20589,100,*,NULL,Census
MMR,NA,States,New Mexico,2021-22,94.3,20736,100,*,NULL,Census
MMR,NA,States,New Mexico,2022-23,94.9,21068,100,*,NULL,Census
MMR,NA,States,New Mexico,2023-24,95,20699,100,*,NULL,Census
MMR,NA,States,New Mexico,2024-25,94.8,20180,100,*,NULL,Census
MMR,NA,States,New Mexico,2025-26,95.1,19843,100,*. �,NULL,Census
MMR,NA,States,New York,2020-21,98.3,216804,91.5,NULL,NULL,Census (public). voluntary response (private)
MMR,NA,States,New York,2021-22,98,195377,99.3,NULL,NULL,Census
MMR,NA,States,New York,2022-23,97.9,205906,96.6,NULL,NULL,"Census (pub.), vol. response (pvt.)"
MMR,NA,States,New York,2023-24,97.7,200894,98.8,NULL,NULL,Census
MMR,NA,States,New York,2024-25,97.8,234054,85.1,NULL,NULL,Vol. response
MMR,NA,States,New York,2025-26,97.7,203514,95.8,NULL,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,North Carolina,2020-21,95.2,120995,89,‡.§,NULL,Census (public). voluntary response (private)
MMR,NA,States,North Carolina,2021-22,96.1,118191,78.5,§. ‡,NULL,Vol. response
MMR,NA,States,North Carolina,2022-23,94,125679,83.1,§. ‡,NULL,Vol. response
MMR,NA,States,North Carolina,2023-24,93.8,125964,90.8,§,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,North Carolina,2024-25,94.2,124028,91,§,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,North Carolina,2025-26,93.7,120045,90.1,�,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,North Dakota,2020-21,93.3,10116,99.1,NULL,NULL,Census
MMR,NA,States,North Dakota,2021-22,91.5,10755,96.6,NULL,NULL,Census
MMR,NA,States,North Dakota,2022-23,92,10554,99.4,NULL,NULL,Census
MMR,NA,States,North Dakota,2023-24,90.9,9708,97.5,NULL,NULL,Census
MMR,NA,States,North Dakota,2024-25,90,9659,98.8,NULL,NULL,Census
MMR,NA,States,North Dakota,2025-26,88.5,9344,98.6,NULL,NULL,Census
MMR,NA,States,Ohio,2020-21,89.6,128535,91.1,NULL,NULL,Census (public). voluntary response (private)
MMR,NA,States,Ohio,2021-22,88.3,139077,91.9,NULL,NULL,"Census (pub.), vol. response (pvt.)"
MMR,NA,States,Ohio,2022-23,89.3,134893,93.7,NULL,NULL,"Census (pub.), vol. response (pvt.)"
MMR,NA,States,Ohio,2023-24,89.2,133716,94,NULL,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,Ohio,2024-25,88.3,131589,93.2,NULL,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,Ohio,2025-26,88.1,129087,95.9,NULL,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,Oklahoma,2020-21,90.5,52656,90,‡.§,NULL,Census (public). voluntary response (private)
MMR,NA,States,Oklahoma,2021-22,90.9,54042,84.3,‡,NULL,Vol. response
MMR,NA,States,Oklahoma,2022-23,89.6,52548,89.5,‡,NULL,"Census (pub.), vol. response (pvt.)"
MMR,NA,States,Oklahoma,2023-24,88.3,49979,93.8,‡,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,Oklahoma,2024-25,88.7,47544,86.7,‡,NULL,Vol. response
MMR,NA,States,Oklahoma,2025-26,87.8,47844,90.7,NULL,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,Oregon,2020-21,92.7,39568,100,*.‡,NULL,Census
MMR,NA,States,Oregon,2021-22,93,41538,100,*. ‡,NULL,Census
MMR,NA,States,Oregon,2022-23,91.9,40963,100,*. ‡,NULL,Census
MMR,NA,States,Oregon,2023-24,91.2,39568,100,*. ‡,NULL,Census
MMR,NA,States,Oregon,2024-25,90.5,38247,100,*. ‡,NULL,Census
MMR,NA,States,Oregon,2025-26,89.6,37309,100,*. �,NULL,Census
MMR,NA,States,Pennsylvania,2020-21,95.5,129307,95,NULL,NULL,Census (public). voluntary response (private)
MMR,NA,States,Pennsylvania,2021-22,95,139558,94.9,NULL,NULL,"Census (pub.), vol. response (pvt.)"
MMR,NA,States,Pennsylvania,2022-23,94,137259,97.2,NULL,NULL,"Census (pub.), vol. response (pvt.)"
MMR,NA,States,Pennsylvania,2023-24,93.5,137593,96.5,NULL,NULL,Census
MMR,NA,States,Pennsylvania,2024-25,92.4,140160,95.3,NULL,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,Pennsylvania,2025-26,92.7,134313,95.7,NULL,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,Rhode Island,2020-21,97,10402,93,‡.§,NULL,Census
MMR,NA,States,Rhode Island,2021-22,97.3,11002,96.9,‡. §,NULL,Census
MMR,NA,States,Rhode Island,2022-23,96.9,10532,96.5,‡. §,NULL,Census
MMR,NA,States,Rhode Island,2023-24,97.1,10539,97.8,‡. §,NULL,Census
MMR,NA,States,Rhode Island,2024-25,96.7,10088,96.7,‡. §,NULL,Census
MMR,NA,States,Rhode Island,2025-26,96.7,10123,97.1,�,NULL,Census
MMR,NA,States,South Carolina,2020-21,94.4,56330,26.5,†,NULL,Stratified 1-stage cluster sample
MMR,NA,States,South Carolina,2021-22,92.7,58276,27.2,†,NULL,1-stage cluster sample
MMR,NA,States,South Carolina,2022-23,93.2,58878,28.1,†,NULL,Stratified 1-stage cluster sample
MMR,NA,States,South Carolina,2023-24,92.1,58069,26.7,†,NULL,Stratified 1-stage cluster sample
MMR,NA,States,South Carolina,2024-25,91.2,57718,34.3,†,NULL,Stratified 1-stage cluster sample
MMR,NA,States,South Carolina,2025-26,93.4,57542,26.2,�,NULL,Stratified 1-stage cluster sample
MMR,NA,States,South Dakota,2020-21,94.6,11512,99.9,NULL,NULL,Census
MMR,NA,States,South Dakota,2021-22,93.7,12251,100,*,NULL,Census
MMR,NA,States,South Dakota,2022-23,92.5,12081,100,*,NULL,Census
MMR,NA,States,South Dakota,2023-24,90.8,11744,99.8,§,NULL,Census
MMR,NA,States,South Dakota,2024-25,90,11367,99.3,§,NULL,Census
MMR,NA,States,South Dakota,2025-26,89.3,11009,100,*. �,NULL,Census
MMR,NA,States,TX-City of Houston,2020-21,83.7,39627,94.9,‡.§,NULL,Census (public). voluntary response (private)
MMR,NA,States,TX-City of Houston,2021-22,88.2,40123,99.3,‡. §,NULL,Census
MMR,NA,States,TX-City of Houston,2022-23,91.3,37664,98.8,‡. §,NULL,"Census (pub.), vol. response (pvt.)"
MMR,NA,States,TX-City of Houston,2023-24,93.6,37882,67.7,‡. §,NULL,Vol. response
MMR,NA,States,TX-City of Houston,2024-25,88.7,36981,98.8,‡. §,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,TX-City of Houston,2025-26,92.1,36071,94.6,�. �,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,Tennessee,2020-21,96.6,73819,100,*.§,NULL,Census
MMR,NA,States,Tennessee,2021-22,95.8,79120,100,§. *,NULL,Census
MMR,NA,States,Tennessee,2022-23,95.4,79692,100,§. *,NULL,Census
MMR,NA,States,Tennessee,2023-24,95.1,79323,95.8,§,NULL,Census
MMR,NA,States,Tennessee,2024-25,94.4,78299,96.7,§,NULL,Census
MMR,NA,States,Tennessee,2025-26,94.4,73415,97.4,�,NULL,Census
MMR,NA,States,Texas,2020-21,95.3,377840,98.9,‡.§,NULL,Census
MMR,NA,States,Texas,2021-22,94,389037,99.3,‡. §,NULL,Census
MMR,NA,States,Texas,2022-23,94.2,381680,98,‡. §,NULL,Census
MMR,NA,States,Texas,2023-24,94.3,381421,92.4,‡. §,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,Texas,2024-25,93.2,378860,97.3,‡. §,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,Texas,2025-26,93.2,358586,98.3,�. �,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,National,United States,2020-21,93.9,3510744,90.8,NULL,NULL,NULL
MMR,NA,National,United States,2021-22,93,3835130,92.2,NULL,NULL,NULL
MMR,NA,National,United States,2022-23,93.1,3832381,92.9,NULL,NULL,NULL
MMR,NA,National,United States,2023-24,92.7,3823506,93.1,NULL,NULL,NULL
MMR,NA,National,United States,2024-25,92.5,3785644,92.7,NULL,NULL,NULL
MMR,NA,National,United States,2025-26,92.4,3692432,96,NULL,NULL,NULL
MMR,NA,States,Utah,2020-21,91.4,46247,100,*,NULL,Census
MMR,NA,States,Utah,2021-22,90,48995,100,*,NULL,Census
MMR,NA,States,Utah,2022-23,90,46635,100,*,NULL,Census
MMR,NA,States,Utah,2023-24,88.8,46228,100,*,NULL,Census
MMR,NA,States,Utah,2024-25,88.6,45818,100,*,NULL,Census
MMR,NA,States,Utah,2025-26,87.2,44001,100,*,NULL,Census
MMR,NA,States,Vermont,2020-21,94,5535,100,*,NULL,Census
MMR,NA,States,Vermont,2021-22,93.4,6126,100,*,NULL,Census
MMR,NA,States,Vermont,2022-23,93.1,5816,100,*,NULL,Census
MMR,NA,States,Vermont,2023-24,92.9,5630,100,*,NULL,Census
MMR,NA,States,Vermont,2024-25,93.5,5432,100,*,NULL,Census
MMR,NA,States,Vermont,2025-26,93.8,5298,100,*,NULL,Census
MMR,NA,States,Virginia,2020-21,95.8,88273,2,†,NULL,Stratified 2-stage cluster sample
MMR,NA,States,Virginia,2021-22,95.5,95996,2.8,†,NULL,Stratified 2-stage cluster sample
MMR,NA,States,Virginia,2022-23,95.8,93271,1.6,†,NULL,Stratified 2-stage cluster sample
MMR,NA,States,Virginia,2023-24,94.2,92633,1.9,†,NULL,Stratified 2-stage cluster sample
MMR,NA,States,Virginia,2024-25,95.6,91453,1.7,†,NULL,Stratified 2-stage cluster sample
MMR,NA,States,Virginia,2025-26,93.6,88950,95.7,NULL,NULL,Census
MMR,NA,States,Washington,2020-21,94.4,74931,100,§,NULL,Census
MMR,NA,States,Washington,2021-22,92.5,87256,97.3,§,NULL,"Census (pub.), vol. response (pvt.)"
MMR,NA,States,Washington,2022-23,91.4,86284,97.9,§,NULL,Census
MMR,NA,States,Washington,2023-24,91.3,84053,97.2,§,NULL,Census
MMR,NA,States,Washington,2024-25,90.9,76756,97.9,NULL,NULL,Census
MMR,NA,States,Washington,2025-26,90.6,75631,99.1,�,NULL,Census
MMR,NA,States,West Virginia,2019-20,98.2,17114,49.6,¶,NULL,Voluntary response
MMR,NA,States,West Virginia,2020-21,NA,NULL,NULL,NULL,NULL,Not Conducted
MMR,NA,States,West Virginia,2021-22,96.5,18070,85.5,‡. §,NULL,Vol. response
MMR,NA,States,West Virginia,2022-23,95.6,19175,86.1,>=. ‡. §,NULL,"Vol. response (pub.), census (pvt.)"
MMR,NA,States,West Virginia,2023-24,98.3,18261,82.8,‡. §,NULL,Vol. response
MMR,NA,States,West Virginia,2025-26,98.9,15445,93.3,�. �,NULL,Census
MMR,NA,States,Wisconsin,2020-21,87.2,63486,84.5,>=.†.‡.§,NULL,Voluntary response
